filename;Time / s;Input_power;Output_power;Losses;Efficency;Caps_losses;FL1_losses;HF1_losses;FL2_losses;HF2_losses;Bulkcap_losses;Inductor;EMI;GaN_total;GaN_switching;GaN_ohmic_total;GaN_ohmich_ON;GaN_Forward_conduction;GaN_Reverse_ON_conduction;GaN_Reverse_OFF_conduction;Si_total;Si_conduction;Si_switching;iTHD_percentage
1900;1,000000e+00;1,905685e+03;1,900127e+03;1,761703e+01;9,907555e+01;2,049243e+00;1,803885e-01;7,484727e-03;1,772588e-01;6,954315e-03;1,677156e+00;2,338421e+00;2,936037e-01;1,215707e+01;1,115115e+01;1,005916e+00;8,427426e-01;2,651378e-01;5,776048e-01;1,631735e-01;7,786881e-01;7,629828e-01;1,570531e-02;8,223992e+00
1950;1,000000e+00;1,955852e+03;1,950137e+03;1,795445e+01;9,908201e+01;2,112536e+00;1,894041e-01;7,603376e-03;1,862667e-01;7,071726e-03;1,722189e+00;2,367919e+00;3,019632e-01;1,235331e+01;1,129854e+01;1,054772e+00;8,867258e-01;2,788343e-01;6,078915e-01;1,680460e-01;8,187262e-01;8,029998e-01;1,572640e-02;8,036566e+00
2000;1,000000e+00;2,006024e+03;2,000148e+03;1,829754e+01;9,908787e+01;2,177801e+00;1,986794e-01;7,862887e-03;1,954890e-01;7,104517e-03;1,768665e+00;2,398083e+00;3,106371e-01;1,255108e+01;1,144624e+01;1,104844e+00;9,319037e-01;2,929321e-01;6,389716e-01;1,729408e-01;8,599343e-01;8,441341e-01;1,580025e-02;7,855646e+00
2050;1,000000e+00;2,056200e+03;2,050159e+03;1,864914e+01;9,909303e+01;2,245810e+00;2,082219e-01;8,367883e-03;2,049751e-01;7,321487e-03;1,816923e+00;2,429296e+00;3,199557e-01;1,275164e+01;1,159554e+01;1,156103e+00;9,782442e-01;3,073890e-01;6,708552e-01;1,778586e-01;9,024396e-01;8,865593e-01;1,588029e-02;7,720963e+00
2100;1,000000e+00;2,106381e+03;2,100171e+03;1,900667e+01;9,909766e+01;2,316762e+00;2,180010e-01;9,010516e-03;2,148000e-01;8,329557e-03;1,866620e+00;2,461968e+00;3,294144e-01;1,295272e+01;1,174418e+01;1,208544e+00;1,025744e+00;3,222069e-01;7,035373e-01;1,827998e-01;9,458013e-01;9,298942e-01;1,590705e-02;7,539982e+00
2150;1,000000e+00;2,156567e+03;2,150183e+03;1,936868e+01;9,910187e+01;2,388764e+00;2,280417e-01;9,682388e-03;2,247647e-01;8,503736e-03;1,917771e+00;2,495328e+00;3,391303e-01;1,315522e+01;1,189310e+01;1,262117e+00;1,074410e+00;3,374020e-01;7,370080e-01;1,877069e-01;9,902465e-01;9,743402e-01;1,590633e-02;7,365033e+00
2200;1,000000e+00;2,206757e+03;2,200196e+03;1,973776e+01;9,910558e+01;2,461070e+00;2,382482e-01;9,968024e-03;2,349706e-01;8,863656e-03;1,969020e+00;2,529828e+00;3,490925e-01;1,336202e+01;1,204528e+01;1,316737e+00;1,124219e+00;3,529464e-01;7,712730e-01;1,925171e-01;1,035752e+00;1,019851e+00;1,590062e-02;7,211117e+00
2250;1,000000e+00;2,256951e+03;2,250210e+03;2,011595e+01;9,910871e+01;2,536386e+00;2,486584e-01;1,055533e-02;2,453996e-01;9,307676e-03;2,022464e+00;2,565869e+00;3,591368e-01;1,357173e+01;1,219920e+01;1,372529e+00;1,175223e+00;3,688442e-01;8,063783e-01;1,973064e-01;1,082826e+00;1,066503e+00;1,632343e-02;6,958866e+00
2300;1,000000e+00;2,307150e+03;2,300224e+03;2,049872e+01;9,911151e+01;2,613048e+00;2,593816e-01;1,107918e-02;2,560893e-01;9,781952e-03;2,076716e+00;2,602545e+00;3,698384e-01;1,378311e+01;1,235365e+01;1,429468e+00;1,227349e+00;3,850923e-01;8,422572e-01;2,021187e-01;1,130173e+00;1,114217e+00;1,595680e-02;6,848871e+00
2350;1,000000e+00;2,357355e+03;2,350239e+03;2,088802e+01;9,911392e+01;2,692328e+00;2,703866e-01;1,193846e-02;2,670112e-01;1,021775e-02;2,132774e+00;2,639503e+00;3,809111e-01;1,399828e+01;1,251068e+01;1,487592e+00;1,280639e+00;4,016862e-01;8,789532e-01;2,069522e-01;1,177001e+00;1,163040e+00;1,396044e-02;6,754893e+00
