filename;Time / s;GaNFET1_Junction;GaNFET2_Junction;GaNFET3_Junction;GaNFET4_Junction;GaNFET5_Junction;GaNFET6_Junction;GaNFET_Package_temp;MOSFET7_Junction;MOSFET8_Junction;MOSFET7_Package_temp;MOSFET8_Package_temp
2700;1,000000e+00;6,773659e+01;6,772778e+01;6,774791e+01;6,772575e+01;6,770034e+01;6,771053e+01;5,806681e+01;4,682846e+01;4,706352e+01;3,868175e+01;3,882927e+01
2750;1,000000e+00;6,775355e+01;6,774596e+01;6,776622e+01;6,774422e+01;6,771845e+01;6,772761e+01;5,808062e+01;4,692078e+01;4,715581e+01;3,873823e+01;3,888574e+01
2800;1,000000e+00;6,777183e+01;6,776416e+01;6,778450e+01;6,776252e+01;6,773650e+01;6,774552e+01;5,809467e+01;4,701488e+01;4,724960e+01;3,879581e+01;3,894312e+01
2850;1,000000e+00;6,779030e+01;6,778276e+01;6,780288e+01;6,778074e+01;6,775521e+01;6,776420e+01;5,810899e+01;4,710969e+01;4,734515e+01;3,885381e+01;3,900157e+01
2900;1,000000e+00;6,780909e+01;6,780165e+01;6,782135e+01;6,779979e+01;6,777394e+01;6,778311e+01;5,812354e+01;4,720684e+01;4,744257e+01;3,891325e+01;3,906117e+01
2950;1,000000e+00;6,782800e+01;6,782106e+01;6,784013e+01;6,781859e+01;6,779310e+01;6,780216e+01;5,813825e+01;4,730574e+01;4,754168e+01;3,897375e+01;3,912180e+01
3000;1,000000e+00;6,784744e+01;6,784024e+01;6,785912e+01;6,783785e+01;6,781212e+01;6,782179e+01;5,815314e+01;4,740555e+01;4,764247e+01;3,903482e+01;3,918346e+01
3050;1,000000e+00;6,786608e+01;6,785975e+01;6,787786e+01;6,785680e+01;6,783151e+01;6,784055e+01;5,816783e+01;4,753206e+01;4,776925e+01;3,911260e+01;3,926141e+01
3100;1,000000e+00;6,788520e+01;6,787909e+01;6,789787e+01;6,787625e+01;6,785075e+01;6,785971e+01;5,818283e+01;4,763637e+01;4,787374e+01;3,917641e+01;3,932533e+01
3150;1,000000e+00;6,790328e+01;6,789876e+01;6,791613e+01;6,789536e+01;6,787040e+01;6,787903e+01;5,819754e+01;4,774240e+01;4,797955e+01;3,924127e+01;3,939004e+01
3200;1,000000e+00;6,792392e+01;6,791791e+01;6,793540e+01;6,791463e+01;6,789009e+01;6,789863e+01;5,821270e+01;4,785073e+01;4,808847e+01;3,930753e+01;3,945666e+01
