filename;Time / s;Input_power;Output_power;Losses;Efficency;Caps_losses;FL1_losses;HF1_losses;FL2_losses;HF2_losses;Bulkcap_losses;GaN_total_losses;GaN_switching_losses;GaN_ohmic_losses;L_losses;iTHD_percentage;Si_conduction;Si_switching;Si_total;EMI_losses
3250;1,300000e+00;3,258256e+03;3,250629e+03;7,737498e+01;9,761969e+01;1,842327e+00;5,058741e-01;1,408852e-02;5,025779e-01;1,477009e-02;8,050163e-01;6,226226e+01;4,000932e+00;5,826133e+01;3,464095e+00;5,107139e+00;9,190639e+00;4,649899e-05;9,190685e+00;6,156088e-01
3300;1,300000e+00;3,308444e+03;3,300658e+03;7,867344e+01;9,761643e+01;1,874173e+00;5,212235e-01;1,452208e-02;5,179191e-01;1,534289e-02;8,051652e-01;6,330844e+01;4,035799e+00;5,927264e+01;3,519124e+00;5,032189e+00;9,340248e+00;4,649714e-05;9,340294e+00;6,314083e-01
3350;1,300000e+00;3,358636e+03;3,350689e+03;7,997768e+01;9,761310e+01;1,906914e+00;5,368344e-01;1,527512e-02;5,335011e-01;1,598667e-02;8,053164e-01;6,435807e+01;4,070947e+00;6,028712e+01;3,575133e+00;4,955383e+00;9,490025e+00;5,999343e-05;9,490085e+00;6,474788e-01
3400;1,300000e+00;3,408831e+03;3,400720e+03;8,128811e+01;9,760968e+01;1,939341e+00;5,526150e-01;1,515993e-02;5,493365e-01;1,675944e-02;8,054697e-01;6,541281e+01;4,106428e+00;6,130638e+01;3,631940e+00;4,884972e+00;9,640176e+00;4,649325e-05;9,640223e+00;6,637966e-01
3450;1,300000e+00;3,459030e+03;3,450752e+03;8,260576e+01;9,760615e+01;1,972619e+00;5,686116e-01;1,493836e-02;5,654504e-01;1,799260e-02;8,056254e-01;6,647216e+01;4,142097e+00;6,233006e+01;3,689927e+00;4,836078e+00;9,790592e+00;4,649069e-05;9,790638e+00;6,804142e-01
3500;1,300000e+00;3,509232e+03;3,500785e+03;8,393116e+01;9,760250e+01;2,007592e+00;5,849430e-01;1,587099e-02;5,818046e-01;1,919027e-02;8,057833e-01;6,753592e+01;4,178032e+00;6,335789e+01;3,749014e+00;4,773309e+00;9,941253e+00;7,771677e-05;9,941330e+00;6,972964e-01
3550;1,300000e+00;3,559438e+03;3,550819e+03;8,526263e+01;9,759879e+01;2,042338e+00;6,014830e-01;1,638216e-02;5,983732e-01;2,015628e-02;8,059436e-01;6,860439e+01;4,214232e+00;6,439016e+01;3,809247e+00;4,708873e+00;1,009219e+01;4,648359e-05;1,009224e+01;7,144122e-01
3600;1,300000e+00;3,609647e+03;3,600854e+03;8,660247e+01;9,759495e+01;2,078119e+00;6,183535e-01;1,815377e-02;6,151042e-01;2,040141e-02;8,061061e-01;6,967770e+01;4,250875e+00;6,542682e+01;3,871433e+00;4,639505e+00;1,024341e+01;4,646651e-05;1,024346e+01;7,317696e-01
3650;1,300000e+00;3,659859e+03;3,650890e+03;8,794965e+01;9,759101e+01;2,116067e+00;6,354669e-01;1,982119e-02;6,322288e-01;2,227895e-02;8,062709e-01;7,075571e+01;4,287673e+00;6,646804e+01;3,933539e+00;4,583518e+00;1,039488e+01;4,645633e-05;1,039493e+01;7,494054e-01
3700;1,300000e+00;3,710075e+03;3,700927e+03;8,930061e+01;9,758707e+01;2,151814e+00;6,527393e-01;2,063126e-02;6,494235e-01;2,258186e-02;8,064379e-01;7,183847e+01;4,324852e+00;6,751362e+01;3,996340e+00;4,544998e+00;1,054665e+01;4,644544e-05;1,054669e+01;7,672902e-01
