vds;ids;eon;eoff;vdsreal;idsreal;rdson;;
-478,63;0,1;0,0000000210779;0,0000002497;0,249598;0,0999479;2,49729;;
-478,63;0,125893;0,00000000168483;0,000000324424;0,264762;0,125823;2,10424;;
-478,63;0,158489;1,83448E-10;0,000000437478;0,280013;0,158397;1,7678;;
-478,63;0,199526;0,0000000242611;0,000000579461;0,295312;0,199403;1,48098;;
-478,63;0,251189;9,37848E-10;0,000000775667;0,310739;0,251026;1,23788;;
-478,63;0,316228;3,28585E-10;0,00000102332;0,326183;0,316012;1,03219;;
-478,63;0,398107;0,00000000749005;0,00000135549;0,341738;0,397823;0,859019;;
-478,63;0,501187;0,0000000137214;0,00000178867;0,357376;0,500813;0,713593;;
-478,63;0,630957;0,00000000485345;0,00000234419;0,373049;0,630466;0,591703;;
-478,63;0,794328;0,00000000222635;0,00000309722;0,388852;0,793683;0,489934;;
-478,63;1;0,0000000060798;0,00000401459;0,405318;0,999153;0,405662;;
-478,63;1,25893;0,0000000116196;0,00000527009;0,420986;1,25782;0,334696;;
-478,63;1,58489;0,0000000103653;0,00000693533;0,437523;1,58344;0,276311;;
-478,63;1,99526;0,000000034941;0,00000903734;0,453633;1,99337;0,227571;;
-478,63;2,51189;0,0000000392831;0,0000120211;0,470941;2,50941;0,18767;;
-478,63;3,16228;0,000000101632;0,000015616;0,489256;3,15905;0,154875;;
-478,63;3,98107;0,0000000832812;0,0000200522;0,645721;3,9757;0,162417;;
-478,63;5,01187;0,000000117735;0,0000261718;0,31843;5,00854;0,0635775;;
-478,63;6,30957;0,000000174799;0,0000344292;0,433226;6,30386;0,0687239;;
-478,63;7,94328;0,000000252677;0,0000448455;0,563751;7,93393;0,0710557;;
-478,63;10;0,000000383784;0,0000585926;0,586187;9,98775;0,0586906;;
-478,63;12,5893;0,000000642043;0,0000771043;0,604697;12,5733;0,0480936;;
-478,63;15,8489;0,000000922849;0,000100452;0,631245;15,828;0,0398815;;
-478,63;19,9526;0,00000122821;0,000130733;0,655438;19,9253;0,0328947;;
-478,63;25,1189;0,00000189682;0,000174769;0,695727;25,0824;0,0277377;;
-478,63;31,6228;0,00000288471;0,000227506;0,732744;31,5744;0,0232069;;
-478,63;39,8107;0,00000448063;0,000307158;0,772613;39,7465;0,0194385;;
