filename;Time / s;GaNFET 1;GaNFET 2;GaNFET 3;GaNFET 4;GaNFET 5;GaNFET 6;MOSFET 7;MOSFET 8
2750;1,300000e+00;5,905559e+01;5,904423e+01;5,906279e+01;5,906320e+01;5,904580e+01;5,905686e+01;5,113262e+01;5,200328e+01
2800;1,300000e+00;5,972083e+01;5,970938e+01;5,972823e+01;5,972849e+01;5,971077e+01;5,972191e+01;5,164988e+01;5,251876e+01
2850;1,300000e+00;6,038116e+01;6,036966e+01;6,038875e+01;6,038903e+01;6,037107e+01;6,038227e+01;5,216669e+01;5,303347e+01
2900;1,300000e+00;6,104374e+01;6,103217e+01;6,105152e+01;6,105171e+01;6,103355e+01;6,104479e+01;5,268434e+01;5,354951e+01
2950;1,300000e+00;6,170913e+01;6,169751e+01;6,171704e+01;6,171728e+01;6,169890e+01;6,171020e+01;5,320216e+01;5,406731e+01
3000;1,300000e+00;6,237630e+01;6,236464e+01;6,238440e+01;6,238460e+01;6,236607e+01;6,237741e+01;5,372121e+01;5,458502e+01
3050;1,300000e+00;6,304637e+01;6,303465e+01;6,305451e+01;6,305480e+01;6,303606e+01;6,304744e+01;5,424168e+01;5,510442e+01
3100;1,300000e+00;6,371911e+01;6,370735e+01;6,372743e+01;6,372770e+01;6,370880e+01;6,372022e+01;5,476335e+01;5,562554e+01
3150;1,300000e+00;6,439466e+01;6,438286e+01;6,440309e+01;6,440338e+01;6,438431e+01;6,439576e+01;5,528647e+01;5,614818e+01
3200;1,300000e+00;6,507338e+01;6,506151e+01;6,508193e+01;6,508219e+01;6,506293e+01;6,507444e+01;5,581043e+01;5,667142e+01
3250;1,300000e+00;6,575473e+01;6,574284e+01;6,576343e+01;6,576371e+01;6,574431e+01;6,575583e+01;5,633509e+01;5,719588e+01
3300;1,300000e+00;6,643944e+01;6,642754e+01;6,644832e+01;6,644864e+01;6,642902e+01;6,644053e+01;5,686057e+01;5,772168e+01
3350;1,300000e+00;6,712640e+01;6,711453e+01;6,713551e+01;6,713582e+01;6,711601e+01;6,712752e+01;5,738705e+01;5,824835e+01
3400;1,300000e+00;6,781670e+01;6,780487e+01;6,782600e+01;6,782634e+01;6,780638e+01;6,781781e+01;5,791469e+01;5,877644e+01
3450;1,300000e+00;6,851001e+01;6,849821e+01;6,851954e+01;6,851989e+01;6,849975e+01;6,851113e+01;5,844358e+01;5,930548e+01
3500;1,300000e+00;6,920621e+01;6,919445e+01;6,921598e+01;6,921633e+01;6,919599e+01;6,920733e+01;5,897336e+01;5,983551e+01
3550;1,300000e+00;6,990549e+01;6,989379e+01;6,991550e+01;6,991586e+01;6,989532e+01;6,990660e+01;5,950378e+01;6,036666e+01
3600;1,300000e+00;7,060793e+01;7,059622e+01;7,061820e+01;7,061858e+01;7,059778e+01;7,060907e+01;6,003548e+01;6,089880e+01
3650;1,300000e+00;7,131346e+01;7,130180e+01;7,132399e+01;7,132435e+01;7,130334e+01;7,131458e+01;6,056803e+01;6,143211e+01
3700;1,300000e+00;7,202209e+01;7,201050e+01;7,203286e+01;7,203321e+01;7,201202e+01;7,202320e+01;6,110169e+01;6,196638e+01
3750;1,300000e+00;7,273403e+01;7,272251e+01;7,274500e+01;7,274536e+01;7,272404e+01;7,273513e+01;6,163628e+01;6,250170e+01
3800;1,300000e+00;7,344941e+01;7,343797e+01;7,346061e+01;7,346099e+01;7,343952e+01;7,345053e+01;6,217193e+01;6,303802e+01
3850;1,300000e+00;7,416835e+01;7,415698e+01;7,417977e+01;7,418015e+01;7,415853e+01;7,416947e+01;6,270869e+01;6,357558e+01
