V1	Ix(U1:2)
Step Information: Temp=-40  (Step: 1/5)
5.330000000000000e+01	1.066130e-06
5.340000000000001e+01	1.068130e-06
5.350000000000000e+01	1.070130e-06
5.360000000000000e+01	1.072130e-06
5.370000000000000e+01	1.074130e-06
5.380000000000000e+01	1.076130e-06
5.390000000000001e+01	1.078130e-06
5.400000000000000e+01	1.080130e-06
5.410000000000000e+01	1.082131e-06
5.420000000000000e+01	1.084131e-06
5.430000000000000e+01	1.086131e-06
5.440000000000001e+01	1.088131e-06
5.450000000000000e+01	1.090131e-06
5.460000000000000e+01	1.092131e-06
5.470000000000000e+01	1.094131e-06
5.480000000000000e+01	1.096131e-06
5.490000000000001e+01	1.098131e-06
5.500000000000000e+01	1.100131e-06
5.510000000000000e+01	1.102132e-06
5.520000000000000e+01	1.104132e-06
5.530000000000000e+01	1.106132e-06
5.540000000000001e+01	1.108132e-06
5.550000000000000e+01	1.110132e-06
5.560000000000000e+01	1.112132e-06
5.570000000000000e+01	1.114132e-06
5.580000000000000e+01	1.116132e-06
5.590000000000001e+01	1.118132e-06
5.600000000000000e+01	1.120132e-06
5.610000000000000e+01	1.122133e-06
5.620000000000000e+01	1.124133e-06
5.630000000000000e+01	1.126133e-06
5.640000000000001e+01	1.128133e-06
5.650000000000000e+01	1.130133e-06
5.660000000000000e+01	1.132133e-06
5.670000000000000e+01	1.134133e-06
5.680000000000000e+01	1.136133e-06
5.690000000000001e+01	1.138133e-06
5.700000000000000e+01	1.140133e-06
5.710000000000000e+01	1.142134e-06
5.720000000000000e+01	1.144134e-06
5.730000000000000e+01	1.146134e-06
5.740000000000001e+01	1.148134e-06
5.750000000000000e+01	1.150134e-06
5.760000000000000e+01	1.152134e-06
5.770000000000000e+01	1.154134e-06
5.780000000000000e+01	1.156134e-06
5.790000000000001e+01	1.158134e-06
5.800000000000000e+01	1.160134e-06
5.810000000000000e+01	1.162135e-06
5.820000000000000e+01	1.164135e-06
5.830000000000000e+01	1.166135e-06
5.840000000000001e+01	1.168135e-06
5.850000000000000e+01	1.170135e-06
5.860000000000000e+01	1.172135e-06
5.870000000000000e+01	1.174135e-06
5.880000000000000e+01	1.176135e-06
5.890000000000001e+01	1.178135e-06
5.900000000000000e+01	1.180135e-06
5.910000000000000e+01	1.182136e-06
5.920000000000000e+01	1.184136e-06
5.930000000000000e+01	1.186136e-06
5.940000000000001e+01	1.188136e-06
5.950000000000000e+01	1.190136e-06
5.960000000000000e+01	1.192136e-06
5.970000000000000e+01	1.194136e-06
5.980000000000000e+01	1.196136e-06
5.990000000000001e+01	1.198136e-06
6.000000000000000e+01	1.200136e-06
6.010000000000000e+01	1.202137e-06
6.020000000000000e+01	1.204137e-06
6.030000000000000e+01	1.206137e-06
6.040000000000001e+01	1.208137e-06
6.050000000000000e+01	1.210137e-06
6.060000000000000e+01	1.212137e-06
6.070000000000000e+01	1.214137e-06
6.080000000000000e+01	1.216137e-06
