V1	Ix(U1:1)
Step Information: Temp=-40  (Step: 1/5)
5.330000000000000e-01	8.853268e-02
5.340000000000000e-01	8.933948e-02
5.350000000000000e-01	9.014768e-02
5.360000000000000e-01	9.095728e-02
5.370000000000000e-01	9.176823e-02
5.380000000000000e-01	9.258055e-02
5.390000000000000e-01	9.339420e-02
5.400000000000000e-01	9.420917e-02
5.410000000000000e-01	9.502544e-02
5.420000000000000e-01	9.584299e-02
5.430000000000000e-01	9.666182e-02
5.440000000000000e-01	9.748190e-02
5.450000000000000e-01	9.830322e-02
5.460000000000000e-01	9.912576e-02
5.470000000000000e-01	9.994951e-02
5.480000000000000e-01	1.007745e-01
5.490000000000000e-01	1.016006e-01
5.500000000000000e-01	1.024279e-01
5.510000000000000e-01	1.032563e-01
5.520000000000000e-01	1.040859e-01
5.530000000000000e-01	1.049166e-01
5.540000000000000e-01	1.057484e-01
5.550000000000000e-01	1.065813e-01
5.560000000000000e-01	1.074153e-01
5.570000000000001e-01	1.082504e-01
5.580000000000001e-01	1.090865e-01
5.590000000000001e-01	1.099237e-01
5.600000000000001e-01	1.107619e-01
5.610000000000001e-01	1.116012e-01
5.620000000000001e-01	1.124414e-01
5.630000000000001e-01	1.132827e-01
5.640000000000001e-01	1.141249e-01
5.650000000000001e-01	1.149682e-01
5.660000000000001e-01	1.158124e-01
5.670000000000001e-01	1.166575e-01
5.680000000000001e-01	1.175036e-01
5.690000000000001e-01	1.183506e-01
5.700000000000001e-01	1.191986e-01
5.710000000000001e-01	1.200475e-01
5.720000000000001e-01	1.208972e-01
5.730000000000001e-01	1.217479e-01
5.740000000000001e-01	1.225995e-01
5.750000000000001e-01	1.234519e-01
5.760000000000001e-01	1.243052e-01
5.770000000000000e-01	1.251594e-01
5.780000000000000e-01	1.260144e-01
5.790000000000000e-01	1.268702e-01
5.800000000000000e-01	1.277269e-01
5.810000000000000e-01	1.285844e-01
5.820000000000000e-01	1.294427e-01
5.830000000000000e-01	1.303018e-01
5.840000000000000e-01	1.311618e-01
5.850000000000000e-01	1.320225e-01
5.860000000000000e-01	1.328840e-01
5.870000000000000e-01	1.337462e-01
5.880000000000000e-01	1.346092e-01
5.890000000000000e-01	1.354730e-01
5.900000000000000e-01	1.363375e-01
5.910000000000000e-01	1.372028e-01
5.920000000000000e-01	1.380688e-01
5.930000000000000e-01	1.389355e-01
5.940000000000000e-01	1.398030e-01
5.950000000000000e-01	1.406711e-01
5.960000000000000e-01	1.415400e-01
5.970000000000000e-01	1.424095e-01
5.980000000000000e-01	1.432798e-01
5.990000000000000e-01	1.441507e-01
6.000000000000000e-01	1.450223e-01
6.010000000000000e-01	1.458946e-01
6.020000000000000e-01	1.467676e-01
6.030000000000000e-01	1.476412e-01
6.040000000000000e-01	1.485155e-01
6.050000000000000e-01	1.493904e-01
6.060000000000000e-01	1.502659e-01
6.070000000000000e-01	1.511421e-01
6.080000000000000e-01	1.520189e-01
6.090000000000000e-01	1.528963e-01
6.100000000000000e-01	1.537744e-01
