eon;eoff;vds;ids;rds_on
5.25547866202e-05;6.92457444947e-06;25.9999904633;24.7376003265;0.0159530019156
7.23392236181e-05;9.09191061937e-06;25.9999923706;31.0205459595;0.0159619977106
0.000101753661683;1.2615708912e-05;25.999994278;38.8602600098;0.0159735100783
0.000143756372693;1.70067733713e-05;25.9999954259;48.6202583313;0.0159883122385
0.000206159196215;2.35118878242e-05;25.9999961853;60.7363548279;0.0160074631928
0.000293047553763;3.28293214446e-05;25.9999961853;75.7238006592;0.0160324562743
0.000425753235068;4.5259596518e-05;25.9999980927;94.1805596863;0.0160654612534
0.000613570541663;6.41779601361e-05;25.9999980927;116.783004761;0.0161097879631
0.000885177659362;9.08085443603e-05;25.9999980927;144.268325806;0.0161708373044
0.00126983146016;0.000126271390734;25.9999980927;177.393234253;0.0162583534089
0.00182104293027;0.000178465009122;25.9999985104;216.845733643;0.0163930417796
0.00258575013331;0.000248672002061;26.0;263.011932373;0.0166356077857
0.0036808225674;0.000350476246835;26.0;313.020446777;0.017752619624
0.00518873931455;0.000499450123195;26.0;358.759643555;0.0204719184263
2.35736639187e-07;1.6354590127e-07;50.9939537048;0.0999968630478;0.016002765879
2.92020768191e-07;3.19338687378e-07;50.9951972961;0.125887287171;0.0169179998954
3.79591102718e-07;5.73767038565e-07;50.9961853027;0.15848143421;0.016011006625
4.77703172572e-07;9.11376691985e-07;50.9969711304;0.199513767492;0.0159718076773
5.85594081401e-07;1.30259165673e-06;50.997592926;0.251168521725;0.0162684018008
7.73188324239e-07;1.3237479027e-06;50.9980888367;0.316196573547;0.0159055585029
9.65752542259e-07;1.35267701146e-06;50.9984817505;0.398057839856;0.015875639787
1.22685020017e-06;1.3734869545e-06;50.9987937775;0.501108825207;0.0159225992521
1.54257928296e-06;1.38200678069e-06;50.9990416399;0.630832860711;0.015950210066
1.95408406553e-06;1.39478110256e-06;50.9992395116;0.79413132581;0.0159188510643
2.4956039191e-06;1.40634299977e-06;50.9993973188;0.999687937314;0.0159193848257
3.17337707913e-06;1.4155954773e-06;50.9995223109;1.25843083595;0.0159211011553
3.95313488786e-06;1.42049453033e-06;50.9996161295;1.58410942554;0.015921492185
5.08777865946e-06;1.49224818198e-06;50.9997012122;1.99402022362;0.0159218210601
