eon;eoff;vds;ids
0.00530017865632;0.000696380734596;225.999969482;173.800854065
0.00631477585557;0.000809416822548;225.999969482;198.12361145
0.00738692254029;0.000920544892618;225.999969482;222.349975586
0.00852616645136;0.00104183287425;225.999969482;246.474517822
0.0097160387763;0.00116084419422;225.999969482;270.486022949
0.0109780501305;0.00128712469686;225.999984741;294.350128174
0.0123839346987;0.00142917973322;225.999984741;317.719360352
0.0139356313876;0.00158046344294;225.999984741;340.690124512
0.0155483154772;0.00173358779063;225.999984741;363.474243164
0.0172425757722;0.00189126494458;225.999984741;386.073974609
0.0190086034641;0.00206585281969;225.999984741;408.491485596
0.0208247913189;0.00222930027722;225.999984741;430.728942871
0.0227000085044;0.00240341200477;225.999984741;452.788513184
0.0246507185534;0.00259307845837;225.999984741;474.672241211
2.12310826077e-05;1.24499925131e-05;250.992004395;0.999936759054
0.000628799663656;0.000105075005519;250.999694824;25.9571018219
0.00133366987379;0.000209571743995;250.999847412;50.8348197937
0.00211706749418;0.000318431183953;250.999893188;75.632850647
0.0029754978953;0.000432419310313;250.999923706;100.350799561
0.00390760629363;0.000548899379371;250.999938965;124.988136292
0.00489479471482;0.000667191091183;250.999954224;149.544036865
0.00595629433491;0.000787709588574;250.999954224;174.017349243
0.00708121095759;0.00091491746379;250.999954224;198.406265259
0.0082657615621;0.00104175715194;250.999969482;222.707931519
0.00952138552169;0.00117194107532;250.999969482;246.917327881
0.010835502774;0.00130794629915;250.999969482;271.024017334
0.0122293168023;0.00144722870744;250.999969482;294.995483398
0.0137689108674;0.00160282184793;250.999969482;318.504302979
0.0154517223946;0.00176735117329;250.999979868;341.663787842
0.0172198331682;0.00193417429161;250.999984741;364.652832031
0.0190487232474;0.00211001354907;250.999984741;387.473236084
0.0209869973582;0.00229220012602;250.999984741;410.126831055
0.0229452883794;0.00247056253914;250.999984741;432.615447998
0.02498180696;0.0026585255135;250.999984741;454.940795898
0.0270804201963;0.00281864094715;250.999984741;477.104644775
2.42358171096e-05;1.43031946135e-05;275.990509033;0.999942341985
0.000713684550028;0.0001194620272;275.999633789;25.960981369
0.00150768589104;0.000237377719032;275.999816895;50.8497390747
0.0023844155863;0.000360093336345;275.99987793;75.6659545898
0.00333990230988;0.000486675117769;275.999908447;100.409255981
0.00437024308059;0.000616380459236;275.999938965;125.079109192
0.00546833598539;0.00074891697071;275.999938965;149.674743652
0.00664075250008;0.000886321404385;275.999938965;174.195037842
0.00787768702578;0.00102303738759;275.999938965;198.638320923
0.00918185467303;0.00116518377135;275.999969482;223.001937866
0.0105560522163;0.00130736166404;275.999969482;247.281204224
0.0120020523642;0.00145018247671;275.999969482;271.466369629
0.0135213564115;0.00160986218003;275.999969482;295.526550293
0.0151935880723;0.00176827353349;275.999969482;319.153289795
0.0170162222023;0.00195694515196;275.999969482;342.469421387
0.0189216178685;0.00213976428784;275.999969482;365.628692627
0.0209161090576;0.00232751020787;275.999969482;388.632629395
0.0229820440454;0.00252469432409;275.999969482;411.482818604
0.0251094736768;0.00272555189136;275.999969482;434.18069458
0.0273073469389;0.0029211044514;275.999969482;456.727813721
0.0295998324121;0.00310221216748;275.999969482;479.125610352
2.74321372702e-05;1.62451244954e-05;300.988893128;0.999947118696
0.000802630368335;0.000134564176212;300.999572754;25.9642181396
0.00168709665598;0.000266615358305;300.999786377;50.8621864319
0.00266094578181;0.00040324794115;300.999847412;75.6935882568
0.00371825859642;0.000544347324011;300.99987793;100.458061218
0.00484916077632;0.000685659533719;300.999908447;125.155075073
0.00605681190456;0.000833952902448;300.999938965;149.783905029
0.00734568153931;0.000986277141162;300.999938965;174.343490601
0.00869852021939;0.00113910292669;300.999938965;198.832275391
0.0101117993382;0.00128984355468;300.999938965;223.247741699
0.0116308816844;0.00144833878349;300.999969482;247.585525513
0.0132066711653;0.00161370997372;300.999969482;271.836486816
0.0148571320635;0.00177515866468;300.999969482;295.971221924
0.016672358186;0.00195674265186;300.999969482;319.698883057
0.0186354279835;0.00215573891076;300.999969482;343.147064209
0.0207044911315;0.00235176028024;300.999969482;366.449981689
0.0228293209993;0.00255944840602;300.999969482;389.608978271
0.0250473437558;0.00278015305323;300.999969482;412.625335693
0.027328783608;0.00297431282106;300.999969482;435.500335693
0.0297485858702;0.00320116428803;300.999969482;458.23526001
0.0321569821888;0.00341276541564;300.999969482;480.831390381
3.06907674394e-05;1.82667438172e-05;325.987182617;0.999951137164
0.000894732835773;0.000150752384135;325.999511719;25.9669570923
0.00187247243686;0.000296838159645;325.999755859;50.8727264404
0.0029460481553;0.000448355651647;325.999816895;75.7169952393
