filename;Time / s;Input_power;Output_power;Losses;Efficency;Caps_losses;FL1_losses;HF1_losses;FL2_losses;HF2_losses;Bulkcap_losses;Inductor;EMI;GaN_total;GaN_switching;GaN_ohmic_total;GaN_ohmich_ON;GaN_Forward_conduction;GaN_Reverse_ON_conduction;GaN_Reverse_OFF_conduction;Si_total;Si_conduction;Si_switching;iTHD_percentage
2050;1,300000e+00;2,055267e+03;2,050159e+03;1,851748e+01;9,909902e+01;1,231017e+00;2,074494e-01;8,578432e-03;2,044107e-01;8,456332e-03;8,021215e-01;2,429399e+00;3,212445e-01;1,294378e+01;1,167150e+01;1,272281e+00;1,095952e+00;3,442192e-01;7,517333e-01;1,763283e-01;1,592032e+00;1,589427e+00;2,604819e-03;7,893334e+00
2100;1,300000e+00;2,105403e+03;2,100171e+03;1,885956e+01;9,910423e+01;1,251134e+00;2,171751e-01;8,872231e-03;2,141769e-01;8,693823e-03;8,022160e-01;2,461685e+00;3,307464e-01;1,315235e+01;1,182185e+01;1,330495e+00;1,149169e+00;3,607833e-01;7,883858e-01;1,813263e-01;1,663644e+00;1,658490e+00;5,153934e-03;7,698105e+00
2150;1,300000e+00;2,155543e+03;2,150183e+03;1,920437e+01;9,910907e+01;1,272889e+00;2,272206e-01;9,568605e-03;2,242813e-01;9,505215e-03;8,023129e-01;2,495239e+00;3,408293e-01;1,336168e+01;1,197169e+01;1,389996e+00;1,203709e+00;3,777610e-01;8,259476e-01;1,862874e-01;1,733730e+00;1,728529e+00;5,200987e-03;7,533598e+00
2200;1,300000e+00;2,205686e+03;2,200196e+03;1,954982e+01;9,911366e+01;1,293001e+00;2,373562e-01;9,486895e-03;2,344198e-01;9,325411e-03;8,024121e-01;2,528633e+00;3,508732e-01;1,357486e+01;1,212423e+01;1,450634e+00;1,259499e+00;3,950991e-01;8,644002e-01;1,911352e-01;1,802447e+00;1,799737e+00;2,709868e-03;7,396450e+00
2250;1,300000e+00;2,255833e+03;2,250210e+03;1,990741e+01;9,911751e+01;1,315315e+00;2,478680e-01;1,013854e-02;2,449530e-01;9,841248e-03;8,025138e-01;2,563955e+00;3,614447e-01;1,379099e+01;1,227838e+01;1,512608e+00;1,316656e+00;4,128657e-01;9,037899e-01;1,959520e-01;1,875705e+00;1,872902e+00;2,803224e-03;7,243304e+00
2300;1,300000e+00;2,305983e+03;2,300224e+03;2,026989e+01;9,912099e+01;1,337770e+00;2,585878e-01;1,045552e-02;2,557249e-01;1,038370e-02;8,026178e-01;2,601881e+00;3,722618e-01;1,400743e+01;1,243154e+01;1,575890e+00;1,375098e+00;4,310108e-01;9,440875e-01;2,007914e-01;1,950545e+00;1,947944e+00;2,600879e-03;7,097540e+00
2350;1,300000e+00;2,356137e+03;2,350239e+03;2,063530e+01;9,912419e+01;1,360446e+00;2,695495e-01;1,079462e-02;2,666946e-01;1,068330e-02;8,027241e-01;2,638404e+00;3,829423e-01;1,422576e+01;1,258524e+01;1,640521e+00;1,434871e+00;4,495930e-01;9,852782e-01;2,056502e-01;2,027749e+00;2,025187e+00;2,562922e-03;6,899190e+00
2400;1,300000e+00;2,406294e+03;2,400254e+03;2,100812e+01;9,912695e+01;1,383600e+00;2,807292e-01;1,102565e-02;2,779061e-01;1,110668e-02;8,028326e-01;2,675927e+00;3,946728e-01;1,444689e+01;1,274042e+01;1,706468e+00;1,495938e+00;4,685827e-01;1,027355e+00;2,105307e-01;2,107027e+00;2,104351e+00;2,675735e-03;6,834156e+00
2450;1,300000e+00;2,456455e+03;2,450271e+03;2,138155e+01;9,912958e+01;1,406963e+00;2,921263e-01;1,109471e-02;2,893332e-01;1,146486e-02;8,029433e-01;2,714302e+00;4,063295e-01;1,466582e+01;1,289209e+01;1,773732e+00;1,558299e+00;4,879808e-01;1,070319e+00;2,154329e-01;2,188136e+00;2,185519e+00;2,616203e-03;6,735474e+00
2500;1,300000e+00;2,506620e+03;2,500287e+03;2,176308e+01;9,913178e+01;1,431584e+00;3,037970e-01;1,163901e-02;3,010222e-01;1,206863e-02;8,030564e-01;2,753957e+00;4,181008e-01;1,488781e+01;1,304549e+01;1,842319e+00;1,621962e+00;5,077971e-01;1,114165e+00;2,203570e-01;2,271631e+00;2,269023e+00;2,607899e-03;6,618041e+00
