filename;Time / s;GaNFET1_Junction;GaNFET2_Junction;GaNFET3_Junction;GaNFET4_Junction;GaNFET5_Junction;GaNFET6_Junction;GaNFET_Package_temp;MOSFET7_Junction;MOSFET8_Junction;MOSFET7_Package_temp;MOSFET8_Package_temp
3550;1,300000e+00;1,088691e+02;1,088755e+02;1,089079e+02;1,088895e+02;1,088484e+02;1,088445e+02;1,034949e+02;5,082037e+01;5,117338e+01;5,012615e+01;5,047251e+01
3600;1,300000e+00;1,088975e+02;1,089047e+02;1,089367e+02;1,089183e+02;1,088769e+02;1,088730e+02;1,035218e+02;5,113757e+01;5,149131e+01;5,043095e+01;5,077801e+01
3650;1,300000e+00;1,089261e+02;1,089333e+02;1,089659e+02;1,089474e+02;1,089045e+02;1,089017e+02;1,035486e+02;5,145839e+01;5,181258e+01;5,073923e+01;5,108672e+01
3700;1,300000e+00;1,089541e+02;1,089623e+02;1,089952e+02;1,089765e+02;1,089328e+02;1,089298e+02;1,035754e+02;5,178309e+01;5,213774e+01;5,105122e+01;5,139915e+01
3750;1,300000e+00;1,089828e+02;1,089920e+02;1,090250e+02;1,090063e+02;1,089618e+02;1,089586e+02;1,036028e+02;5,211204e+01;5,246696e+01;5,136729e+01;5,171548e+01
3800;1,300000e+00;1,090120e+02;1,090217e+02;1,090542e+02;1,090358e+02;1,089914e+02;1,089878e+02;1,036303e+02;5,244451e+01;5,279973e+01;5,168672e+01;5,203521e+01
3850;1,300000e+00;1,090421e+02;1,090522e+02;1,090841e+02;1,090656e+02;1,090219e+02;1,090182e+02;1,036585e+02;5,278060e+01;5,313636e+01;5,200964e+01;5,235864e+01
3900;1,300000e+00;1,090716e+02;1,090823e+02;1,091147e+02;1,090967e+02;1,090522e+02;1,090475e+02;1,036867e+02;5,312018e+01;5,347635e+01;5,233589e+01;5,268529e+01
3950;1,300000e+00;1,091009e+02;1,091122e+02;1,091452e+02;1,091270e+02;1,090825e+02;1,090769e+02;1,037147e+02;5,346390e+01;5,382004e+01;5,266612e+01;5,301549e+01
4000;1,300000e+00;1,091306e+02;1,091429e+02;1,091758e+02;1,091575e+02;1,091132e+02;1,091064e+02;1,037431e+02;5,381232e+01;5,416732e+01;5,300089e+01;5,334913e+01
4050;1,300000e+00;1,183104e+02;1,183242e+02;1,183573e+02;1,183395e+02;1,182944e+02;1,182864e+02;1,123355e+02;5,907926e+01;5,944707e+01;5,816131e+01;5,852211e+01
4100;1,300000e+00;1,183408e+02;1,183563e+02;1,183899e+02;1,183714e+02;1,183269e+02;1,183168e+02;1,123651e+02;5,944298e+01;5,980898e+01;5,851081e+01;5,886983e+01
4150;1,300000e+00;1,183719e+02;1,183886e+02;1,184223e+02;1,184035e+02;1,183592e+02;1,183477e+02;1,123949e+02;5,981014e+01;6,017406e+01;5,886362e+01;5,922058e+01
4200;1,300000e+00;1,184032e+02;1,184210e+02;1,184548e+02;1,184362e+02;1,183911e+02;1,183789e+02;1,124249e+02;6,018065e+01;6,054260e+01;5,921963e+01;5,957465e+01
4250;1,300000e+00;1,184351e+02;1,184536e+02;1,184880e+02;1,184687e+02;1,184237e+02;1,184106e+02;1,124552e+02;6,055352e+01;6,091325e+01;5,957790e+01;5,993073e+01
4300;1,300000e+00;1,184667e+02;1,184863e+02;1,185201e+02;1,185006e+02;1,184568e+02;1,184420e+02;1,124852e+02;6,092808e+01;6,128606e+01;5,993777e+01;6,028887e+01
4350;1,300000e+00;1,184979e+02;1,185180e+02;1,185525e+02;1,185332e+02;1,184885e+02;1,184731e+02;1,125150e+02;6,130466e+01;6,165732e+01;6,029956e+01;6,064543e+01
4400;1,300000e+00;1,185294e+02;1,185507e+02;1,185850e+02;1,185655e+02;1,185209e+02;1,185045e+02;1,125451e+02;6,168288e+01;6,203047e+01;6,066290e+01;6,100380e+01
4450;1,300000e+00;1,185610e+02;1,185828e+02;1,186180e+02;1,185979e+02;1,185530e+02;1,185361e+02;1,125751e+02;6,206345e+01;6,240644e+01;6,102849e+01;6,136488e+01
4500;1,300000e+00;1,185923e+02;1,186148e+02;1,186505e+02;1,186308e+02;1,185847e+02;1,185673e+02;1,126050e+02;6,244651e+01;6,278469e+01;6,139647e+01;6,172813e+01
4550;1,300000e+00;1,277853e+02;1,278081e+02;1,278453e+02;1,278250e+02;1,277786e+02;1,277599e+02;1,212093e+02;6,840741e+01;6,875904e+01;6,723565e+01;6,758050e+01
4600;1,300000e+00;1,278183e+02;1,278426e+02;1,278792e+02;1,278593e+02;1,278132e+02;1,277933e+02;1,212410e+02;6,880157e+01;6,914977e+01;6,761430e+01;6,795577e+01
4650;1,300000e+00;1,278516e+02;1,278772e+02;1,279127e+02;1,278928e+02;1,278479e+02;1,278265e+02;1,212726e+02;6,919735e+01;6,954369e+01;6,799448e+01;6,833413e+01
4700;1,300000e+00;1,278853e+02;1,279117e+02;1,279475e+02;1,279276e+02;1,278826e+02;1,278602e+02;1,213048e+02;6,959464e+01;6,994277e+01;6,837610e+01;6,871749e+01
4750;1,300000e+00;1,279191e+02;1,279469e+02;1,279820e+02;1,279621e+02;1,279177e+02;1,278941e+02;1,213371e+02;6,998895e+01;7,034785e+01;6,875476e+01;6,910671e+01
4800;1,300000e+00;1,279527e+02;1,279822e+02;1,280172e+02;1,279973e+02;1,279532e+02;1,279277e+02;1,213696e+02;7,038526e+01;7,075487e+01;6,913533e+01;6,949778e+01
4850;1,300000e+00;1,279870e+02;1,280177e+02;1,280522e+02;1,280325e+02;1,279890e+02;1,279622e+02;1,214023e+02;7,078345e+01;7,116317e+01;6,951771e+01;6,989007e+01
4900;1,300000e+00;1,280217e+02;1,280535e+02;1,280882e+02;1,280686e+02;1,280249e+02;1,279970e+02;1,214356e+02;7,118305e+01;7,157256e+01;6,990143e+01;7,028339e+01
4950;1,300000e+00;1,280563e+02;1,280893e+02;1,281231e+02;1,281040e+02;1,280609e+02;1,280316e+02;1,214685e+02;7,158396e+01;7,198289e+01;7,028640e+01;7,067760e+01
5000;1,300000e+00;1,280908e+02;1,281246e+02;1,281588e+02;1,281392e+02;1,280964e+02;1,280662e+02;1,215014e+02;7,198526e+01;7,239192e+01;7,067173e+01;7,107049e+01
5050;1,300000e+00;1,281250e+02;1,281605e+02;1,281941e+02;1,281747e+02;1,281325e+02;1,281006e+02;1,215344e+02;7,238797e+01;7,280210e+01;7,105840e+01;7,146448e+01
