filename;Input_power;Output_power;Losses;Efficency;Caps_losses;FL1_losses;HF1_losses;FL2_losses;HF2_losses;Bulkcap_losses;Inductor;EMI;GaN_total;GaN_switching;GaN_ohmic_total;GaN_ohmich_ON;GaN_Forward_conduction;GaN_Reverse_ON_conduction;GaN_Reverse_OFF_conduction;Si_total;Si_conduction;Si_switching;iTHD_percentage
2850;2866,694;2850,447;34,83363;98,78488;11,62848;0,3969349;0,02069719;0,3935954;0,01952948;10,79772;3,072111;0,5042026;16,62405;14,18037;2,443683;2,18765;0,6888705;1,49878;0,2560327;3,004783;3,002526;0,002257187;6,130913
2900;2917,196;2900,471;35,60562;98,77946;12,00428;0,4106794;0,02130724;0,4073582;0,02001374;11,14491;3,119743;0,5178036;16,86117;14,33507;2,526095;2,264918;0,7132517;1,551667;0,261177;3,102625;3,100386;0,002238482;6,002092
2950;2967,707;2950,496;36,39199;98,77373;12,38962;0,4246862;0,02195517;0,421424;0,02055531;11,501;3,168437;0,5320923;17,09907;14,48911;2,60996;2,343609;0,7380866;1,605522;0,2663512;3,202773;3,200554;0,00221847;5,878919
3000;3018,227;3000,521;37,18952;98,76784;12,78022;0,4389447;0,02284587;0,4357209;0,02133244;11,86138;3,21815;0,5466153;17,33924;14,64404;2,695196;2,423648;0,7633739;1,660274;0,271548;3,305296;3,303127;0,002168494;5,805269
3050;3068,756;3050,547;38,20878;98,75491;13,17506;0,4534786;0,02372773;0,4501954;0,02182362;12,22584;3,26874;0,5613285;17,66517;14,79873;2,866439;2,589857;0,8158073;1,77405;0,2765815;3,538479;3,536289;0,002189937;5,714079
3100;3119,295;3100,574;39,0324;98,74868;13,57735;0,4682195;0,02466861;0,4648427;0,02188385;12,59772;3,320171;0,5763504;17,91092;14,95362;2,957298;2,675456;0,8428727;1,832584;0,2818418;3,647599;3,645433;0,002166214;5,648244
3150;3169,843;3150,602;39,86343;98,74242;13,98333;0,4831852;0,0254453;0,4796634;0,0215523;12,97349;3,372456;0,5914111;18,15766;15,10804;3,049614;2,762489;0,8704089;1,89208;0,2871247;3,758571;3,756426;0,002144846;5,567904
3200;3220,399;3200,631;40,70646;98,73598;14,39647;0,4983848;0,02622417;0,4948471;0,0222037;13,35481;3,426015;0,6065235;18,40603;15,26266;3,143365;2,850934;0,8983906;1,952544;0,2924303;3,871419;3,869295;0,002124023;5,47965
3250;3270,965;3250,661;41,5595;98,72944;14,81546;0,5138146;0,027062;0,5101757;0,02194998;13,74246;3,480416;0,6218271;18,65573;15,41715;3,238579;2,940822;0,9268557;2,013966;0,2977578;3,986065;3,983961;0,00210485;5,388815
3300;3321,541;3300,692;42,42473;98,72274;15,24172;0,5295231;0,02788086;0,5257342;0,02143473;14,13715;3,535703;0,6376594;18,90759;15,57235;3,335237;3,03213;0,9557633;2,076367;0,3031069;4,102058;4,099939;0,002118747;5,307142
3350;3372,125;3350,724;43,29853;98,71599;15,67495;0,5454715;0,02874638;0,5416267;0,02170878;14,5374;3,592773;0,6536791;19,15781;15,72444;3,433372;3,124894;0,9851686;2,139725;0,3084778;4,219312;4,217258;0,002054079;5,225308
3400;3422,719;3400,756;44,18534;98,70906;16,11426;0,5616829;0,02964279;0,5578487;0,02284858;14,94223;3,651759;0,669929;19,41098;15,87799;3,532996;3,219119;1,015043;2,204076;0,313877;4,338411;4,336375;0,00203636;5,132259
3450;3473,321;3450,79;45,08324;98,70201;16,56137;0,5781814;0,03062602;0,5743887;0,02435498;15,35382;3,710499;0,6865018;19,66633;16,03226;3,634075;3,314786;1,045379;2,269407;0,3192885;4,458533;4,456515;0,002018328;5,042748
3500;3523,934;3500,824;45,99291;98,69484;17,01585;0,5949031;0,03157801;0,5912126;0,02594319;15,77221;3,770232;0,7036986;19,92235;16,18571;3,736641;3,41192;1,076202;2,335718;0,3247211;4,580779;4,578779;0,002000386;4,971587
3550;3574,555;3550,86;47,24932;98,67818;17,47803;0,6118118;0,03249552;0,6084544;0,02889296;16,19638;3,831178;0,7208723;20,34152;16,33846;4,003069;3,672878;1,15873;2,514148;0,3301904;4,877709;4,875728;0,001980939;4,903382
3600;3625,186;3600,896;48,18565;98,67081;17,94482;0,6289823;0,0333987;0,625812;0,03083719;16,62579;3,892884;0,7383581;20,60371;16,49059;4,113123;3,777431;1,191926;2,585505;0,3356918;5,00587;5,003907;0,001962425;4,838759
3650;3675,826;3650,934;49,13563;98,66328;18,42093;0,6464024;0,03426929;0,6434077;0,03270553;17,06415;3,95564;0,7560125;20,86746;16,64269;4,224765;3,883548;1,225634;2,657915;0,3412169;5,135587;5,133643;0,001943766;4,758821
3700;3726,475;3700,973;50,09376;98,65573;18,90067;0,6641191;0,03520739;0,6611211;0,03371108;17,50651;4,019236;0,7740059;21,13278;16,79481;4,337966;3,991203;1,259845;2,731358;0,3467628;5,267069;5,265145;0,001923992;4,673349
3750;3777,134;3751,012;51,06374;98,64808;19,38855;0,682111;0,03620049;0,6791689;0,03507501;17,95599;4,083913;0,7923276;21,39847;16,94572;4,452747;4,100419;1,29457;2,80585;0,3523281;5,400484;5,39858;0,001903976;4,570601
3800;3827,802;3801,053;52,04355;98,64038;19,88167;0,7002919;0,03717466;0,6973191;0,035695;18,41119;4,14934;0,8108557;21,66632;17,09733;4,568984;4,21107;1,329748;2,881322;0,3579133;5,535371;5,533488;0,001883274;4,512946
3850;3878,48;3851,095;53,03514;98,63258;20,38072;0,7187227;0,03827085;0,7156673;0,03605401;18,872;4,215743;0,829614;21,93746;17,25071;4,686746;4,323227;1,365434;2,957793;0,3635184;5,671608;5,669746;0,00186194;4,465377
3900;3929,167;3901,138;54,03944;98,62466;20,88637;0,737415;0,03926657;0,73434;0,03700849;19,33833;4,283261;0,848697;22,21188;17,40577;4,806109;4,436966;1,401643;3,035323;0,3691425;5,809238;5,807398;0,001840222;4,412164
3950;3979,864;3951,181;55,05418;98,61668;21,39835;0,7563592;0,04038565;0,7532372;0,03779298;19,81057;4,351679;0,8679997;22,48775;17,56077;4,926979;4,552197;1,438325;3,113872;0,3747823;5,948414;5,946594;0,001819538;4,361839
4000;4030,57;4001,227;56,07741;98,6087;21,91634;0,7755523;0,04143468;0,7723282;0,03813441;20,28889;4,421004;0,8875922;22,76316;17,71376;5,049401;4,668964;1,475513;3,193451;0,3804378;6,089304;6,087503;0,001800846;4,311745
4050;4081,285;4051,273;57,61402;98,58834;22,4397;0,795043;0,04261453;0,7916799;0,03858103;20,77179;4,491457;0,9075494;23,28763;17,86922;5,418403;5,031919;1,590521;3,441398;0,3864835;6,487682;6,485898;0,001783523;4,259591
4100;4132,01;4101,32;58,66951;98,58012;22,97021;0,8147898;0,04376855;0,8113065;0,0392424;21,2611;4,562882;0,9277449;23,57415;18,02407;5,550084;5,157873;1,63066;3,527213;0,3922107;6,634514;6,632744;0,001770445;4,206168
4150;4182,745;4151,368;59,73518;98,57187;23,50636;0,8347969;0,04496506;0,8311781;0,03992248;21,75549;4,63534;0,948351;23,86248;18,17909;5,683391;5,285437;1,67133;3,614108;0,3979533;6,782657;6,780898;0,001759157;4,164387
4200;4233,489;4201,418;60,81318;98,56352;24,05045;0,8550452;0,04604099;0,8513103;0,04060931;22,25745;4,708725;0,9691448;24,15268;18,33434;5,818342;5,41463;1,712541;3,702088;0,403712;6,932178;6,930419;0,001759105;4,106386
4250;4284,242;4251,469;61,89934;98,55519;24,59943;0,8755408;0,04702998;0,8716584;0,04107242;22,76413;4,782968;0,9901579;24,44404;18,48914;5,954909;5,545419;1,754281;3,791139;0,4094893;7,082735;7,080999;0,001735588;4,050638
4300;4335,005;4301,521;62,99751;98,54677;25,15599;0,8962877;0,04801096;0,8922794;0,04165644;23,27776;4,858313;1,011447;24,73736;18,64425;6,093106;5,677819;1,796536;3,881283;0,415287;7,234399;7,232673;0,001725174;4,002203
4350;4385,778;4351,574;64,10448;98,53836;25,71902;0,9172461;0,04906255;0,9131483;0,04223478;23,79733;4,934632;1,032848;25,03086;18,79796;6,232904;5,811797;1,839312;3,972485;0,4211069;7,387122;7,38542;0,001702467;3,953114
4400;4436,56;4401,628;65,2228;98,52988;26,28924;0,9384628;0,05013176;0,9343363;0,04331595;24,32299;5,01196;1,054521;25,3262;18,95185;6,37435;5,947401;1,882625;4,064775;0,4269491;7,540874;7,539178;0,001696075;3,900838
