W;Time / s;Input_power;Output_power;Losses;Efficency;Caps_losses;FL1_losses;HF1_losses;FL2_losses;HF2_losses;Bulkcap_losses;GaN_total_losses;GaN_switching_losses;GaN_ohmic_losses;L_losses;iTHD;Load_average1:16;Load_average1:17;Load_average1:18
3150;2;3156,5739353880563;3150,5731439535703;21,934798811079858;99,305107397212311;1,7970850053593495;0,47563237677538939;0,021790362410264927;0,47240773208475673;0,022536317559922889;0,80471792567739098;14,390505961341065;12,293444229599332;2,0970617317741249;1,8210771760249089;0,089541404463427718;3,9260514642245048;7,920414195983585e-05;3,9261306683591117
3200;2;3206,7136639820628;3200,600753246425;22,285725018637727;99,305029156840618;1,8286010668948094;0,4905468641696476;0,022559218002304562;0,4873050106556111;0,023327447743776347;0,8048622354799595;14,557512965557647;12,397495502172672;2,1600174634110694;1,8486467540811604;0,088310691226826679;4,0508850210468257;7,9211034168901281e-05;4,0509642320793127
3250;2;3256,8559278633875;3250,6292325428162;22,640683106707751;99,304830070136006;1,8607696258278124;0,50569309608368129;0,023346117655704667;0,50244769476501105;0,02427364235675103;0,80500878412929988;14,725410330277892;12,501513509881384;2,223896820409955;1,8768033989954571;0,087019345761714967;4,1776195773072073;8,0174261348880588e-05;4,177699751561641
3300;2;3307,0007499638778;3300,6585717264788;23,014163704439799;99,30407745832548;1,8934018195582021;0,52109078148158749;0,024312833739143058;0,51779708203829478;0,025043328943314368;0,80515750252435792;14,908835039501582;12,620059167269039;2,2887758722398206;1,905484749376315;0,085800559586247965;4,3063509088039735;9,1187184811087989e-05;4,3064420959843694
3350;1;3357,1482300389139;3350,6888251277669;23,357095446311899;99,304257844683193;1,9259942774607204;0,53670528076205426;0,024973258113956988;0,53336239216211245;0,025644468234983456;0,80530858491642954;15,059183725224333;12,726191716082816;2,33299200918899;1,9347457356838382;0,084668246799518843;4,4370924820803133;7,9225840205738183e-05;4,4371717079204362
3400;1;3407,2983623914397;3400,7199875071192;23,722870349567689;99,303763045181768;1,9592336141328692;0,55253375122399251;0,025645188945595022;0,54917799851095273;0,026414500329560182;0,80546188205814584;15,229195768825164;12,830277581538731;2,3989181873322383;1,9645753229474638;0,083533124364687586;4,5697799524159572;8,5691281598941651e-05;4,5698656436955805
3450;1;3457,451239249845;3450,7520728226996;24,092755467336129;99,303164273035406;1,9931464490009638;0,56861398691143006;0,026477680699139781;0,56523009351091102;0,027206914892102363;0,80561748013324452;15,39931168716528;12,933510145825506;2,465801541342004;1,9957559669785034;0,082458087217919349;4,7044621299738729;7,9234216349628514e-05;4,7045413641898168
3500;1;3507,6067649428846;3500,7850952476033;24,467997585218455;99,302430425156004;2,0277368760374737;0,58492675585672282;0,027250963913137739;0,58154734350476156;0,028236131753254137;0,80577538831228723;15,571449009155062;13,037823485045692;2,5336255240902821;2,0276177390726349;0,081409329086354176;4,8411147252968805;7,9235684466282409e-05;4,8411939609859225
3550;1;3557,764861759455;3550,8190665060965;24,846082711465218;99,301637862796881;2,0629731157065483;0,60148780891212339;0,028220925437336036;0,59808883115399392;0,029239755898941618;0,80593550176040551;15,744209538782236;13,141858696697563;2,6023508421042161;2,0591142960124111;0,080346397616807924;4,9797065232820819;7,9237659410273266e-05;4,9797857609472356
3600;1;3607,9256072858657;3600,8540000456142;25,227249129690342;99,300782447040078;2,0984173185061685;0,61828498480400751;0,029218914365518416;0,61483612279813471;0,029979099126413999;0,80609790689202776;15,917336658093312;13,245331197891469;2,6720054601961083;2,091149692418405;0,07930495175789215;5,1202662211863004;7,9239489330191253e-05;5,1203454606782355
3650;1;3658,089073201767;3650,8899089574902;25,611897742521851;99,299855819573281;2,1343521601492683;0,63530972860102519;0,030115963750654322;0,63183046861242176;0,030833157187516932;0,80626254964708599;16,090914462797027;13,348314425295694;2,7426000375357487;2,1237434538637165;0,07830125851127169;5,262808424831916;7,9240818475747701e-05;5,2628876656546106
3700;1;3708,2552628133417;3700,9268061695934;26,000379227507636;99,298851416719202;2,170205998900399;0,65253907342330253;0,030784445513138969;0,64902674034138685;0,031425995044385348;0,80642945229446628;16,265861093401377;13,451719771109104;2,814141322307683;2,1568938708749203;0,077340521846600563;5,407339022706374;7,9241659298165049e-05;5,4074182643758721
3750;1;3758,4241381808356;3750,9647048088991;26,393963572647863;99,29773855692595;2,2069929578463823;0,67000141839436722;0,031400488044867669;0,66651504805636341;0,032477080519107332;0,8065986305934425;16,442452197087288;13,555839230495414;2,8866129665701599;2,1906110730825539;0,076385272943931021;5,5538281027274357;7,924193957403939e-05;5,5539073446649345
3800;1;3808,5957790943808;3801,0036173229541;26,791419466812538;99,296553873503314;2,2447948772067985;0,68774405783257886;0,032482702361169291;0,68423819093028837;0,033559587446631178;0,80677004646066264;16,619348946911032;13,659330551779975;2,9600183951502559;2,2249006150674875;0,075458223332352081;5,7022957858772498;7,9241750284448105e-05;5,7023750276255996
3850;1;3858,7701388250266;3851,0435566618958;27,193323348629683;99,295285223414893;2,2829894754771831;0,70572774825989126;0,033564444623523849;0,70218492635502905;0,034568302685099368;0,80694376140050506;16,797750260369941;13,763383253227543;3,0343670071249389;2,2597561230392218;0,07456515474704907;5,8527482486548044;7,9241123233192296e-05;5,85282748978147
3900;1;3908,947228254232;3901,0845371331038;27,598317235835186;99,29397058493872;2,3210294911172027;0,72388991491021826;0,034319528292443453;0,72033585827917224;0,03536426139203605;0,80711963614202598;16,976992094335191;13,867376615943906;3,109615478411432;2,2951034344087815;0,073621886570539613;6,0051129759315192;7,9240057121069939e-05;6,0051922159930466
3950;1;3959,1271461441138;3951,1265745947517;28,007008820115995;99,292596377759381;2,3599484147299115;0,74233458140878505;0,035400489879404744;0,73872692371583526;0,036188302512529975;0,80729782511783255;17,156459446559541;13,970638031057456;3,1858214155293321;2,3310333708556006;0,072740111592051918;6,1594883493850672;7,9238571014398989e-05;6,1595675879655838
4000;1;4009,3098296021922;4001,1696829242451;28,418780789215489;99,291180227593998;2,3989106211782918;0,76096186358507412;0,036116859055828468;0,75734622527674167;0,037007063774683879;0,80747831742328435;17,336457677695865;14,073503249232187;3,2629544284606125;2,3675060342891396;0,071865127713307123;6,3158272193419407;7,9236728293208887e-05;6,3159064560767249
4050;1;4059,4953239098995;4051,2138750471945;28,83521026738735;99,289684850448779;2,4389790347775913;0,77985170628098799;0,037025769296140772;0,77624757935581168;0,038192674839118611;0,80766101311224814;17,517477026048734;14,176448508765322;3,3410285173101251;2,4045322605432506;0,0710105344557663;6,4741427114877164;7,9234520218879673e-05;6,4742219460132686
4100;1;4109,6836577785507;4101,2591646175288;29,255571096757478;99,288130825955179;2,479446336470684;0,79900693262772327;0,038001351916700281;0,79539356095560454;0,039198054083161932;0,80784614468747706;17,699399634908339;14,279339823958153;3,4200598109013405;2,4421534393935365;0,070237326676874753;6,6344924540993988;7,9231888056928762e-05;6,6345716859857102
4150;1;4159,8747652801767;4151,3055652885223;29,679722860326052;99,286523644187071;2,5205018799043186;0,81843305715195436;0,039193530191817892;0,81477337376089587;0,040067975506453558;0,80803365127161375;17,881891788368296;14,381821922230319;3,5000698661472276;2,4803429648191866;0,069574636591056782;6,7969069982489465;7,9228977859906839e-05;6,7969862272183246
4200;1;4210,0686604333641;4201,3530906501974;30,109332923230244;99,284825608244773;2,5640202678124568;0,83820124103500793;0,041484256954854727;0,8344394377656561;0,041671720887851656;0,80822331901284272;18,064836332973567;14,483816836406408;3,5810194965564395;2,5191306507411286;0,068891935820110384;6,9612664459315452;7,9225749854731803e-05;6,9613456716778126
4250;1;4260,2655109228308;4251,401754140823;30,540086514858686;99,283141239659187;2,6057153179160109;0,85802437912656238;0,042404797498790121;0,85425012230062769;0,042620499608277143;0,80841522731783244;18,248345270463563;14,585480781132652;3,6628644893697015;2,5584400490873693;0,068122903623521816;7,127506655181195;7,9222206806851857e-05;7,1275858774003069
4300;1;4310,4651844696136;4301,45156921745;30,976677664181526;99,281361144158041;2,6499951550527601;0,87819386919947906;0,044115344751502437;0,8744259724409309;0,044650351762554587;0,80860932489337356;18,432544142576972;14,686887311658767;3,7456568309054497;2,598313095113157;0,067391939211224675;7,2957460531134117;7,92183820494823e-05;7,2958252714922844
4350;1;4360,6677773198908;4351,5025486873565;31,414970835479647;99,279583484606249;2,6925280390113064;0,89845993635273735;0,044577668975989429;0,89475364635191201;0,045930738303363236;0,80880575700368462;18,617695071254118;14,788292442142431;3,8294026291411765;2,6386644467709455;0,06671660236130865;7,466004063982898;7,9214459599768742e-05;7,4660832784581155
4400;1;4410,873273285094;4401,5547060644212;31,857101076969755;99,277759774059376;2,7360065034729009;0,91909745559693723;0,046190485147344307;0,91522565506894527;0,046488177229412814;0,8090044384111339;18,803310319881305;14,889240011645093;3,9140703082499075;2,6794980319466681;0,066021174242554673;7,6382070113749618;7,9210338864842703e-05;7,63828622171701
4450;1;4461,0816832681494;4451,6080547727297;32,30260025766556;99,275902066648285;2,7796681941253603;0,93984180151101049;0,04674892650813036;0,93603041650666685;0,047841374032722359;0,80920538353738647;18,989546541994603;14,98985989762585;3,9996866443875079;2,7209042547607387;0,065352515955974091;7,812402061331075;7,920553382162003e-05;7,812481266873192
4500;1;4511,2930108344462;4501,6626085758398;32,751982040473344;99,274000115396007;2,8239330760277812;0,9608728158131582;0,047650077058294736;0,95704375069107561;0,04895749413571996;0,80940864356769748;19,176498320186436;15,09023155758722;4,0862667626070959;2,7628616476074974;0,064729226755100039;7,9886097961244182;7,9200508910182347e-05;7,9886889966537904
4550;1;4561,5072894732857;4551,7183809438957;33,204289045386929;99,272076378351429;2,8679782370966822;0,9820731156545246;0,04809577325410206;0,97827515352776595;0,049919672298955692;0,80961423029848778;19,364070661777046;15,190284062512541;4,1737865992755525;2,8053702787852521;0,064111509727380805;8,1667906719330308;7,919576566918382e-05;8,1668698676993099
4600;1;4611,7245129547764;4601,7753853346203;33,660266469973124;99,270115411414793;2,9124243615765719;1,0035339331584991;0,048649552197056141;0,99972147007731404;0,050696979304380774;0,80982213476875631;19,552401989653777;15,290140896366577;4,2622610932971066;2,8483949237974504;0,063518958984461679;8,3469660044981087;7,9190377886750651e-05;8,3470451948841902
4650;1;4661,9447385584281;4651,8336345872376;34,121558361783137;99,268083165018794;2,9587068147635862;1,0253343372995829;0,050076199954628892;1,0214494745653517;0,051814371151813601;0,81003236742126727;19,74160059833461;15,389924091402461;4,3516765068992376;2,8920528985458072;0,062934458164457613;8,5291188652065895;7,9184917301919637e-05;8,5291980501236448
4700;1;4712,16792297967;4701,893141892795;34,586161258621608;99,26602443204078;3,0052416361714243;1,0473089963747608;0,051007320799446712;1,043449068373818;0,053231118412379569;0,8102448401182839;19,931365702649138;15,489334653692781;4,4420310489610033;2,9362289798776784;0,062354165433956228;8,7132457606973901;7,9179268086666793e-05;8,7133249399553492
4750;1;4762,394117314615;4751,9539207635989;35,054252398664204;99,263936340709293;3,0517327450877008;1,0695756026205434;0,052476244446171758;1,0655635313304561;0,053657423698923942;0,81045965096170047;20,122175832811283;15,588843660149509;4,5333321726513818;2,9809131546275101;0,061782069034834859;8,8993514927005766;7,9173475447540708e-05;8,8994306661746716
4800;1;4812,6233124653254;4802,0159848918183;35,528016596018084;99,261774414786572;3,1007629558632348;1,0922414262770728;0,055369881986309211;1,0879627493082658;0,05451176704002908;0,81067687753069284;20,313463058682231;15,687869772343259;4,625593286354194;3,0262585579940948;0,06123273735289763;9,0874528555683547;7,9167825964781917e-05;9,0875320234253056
4850;1;4862,8555473428596;4852,0793477398529;36,004022234655949;99,259611520270028;3,1490973132434368;1,1149719475058828;0,056742174472951233;1,1106552061329567;0,055831363493837244;0,8108963293856033;20,505212674958102;15,786404316715807;4,7188083582072435;3,0720706474150097;0,060716152191938232;9,2775624374973553;7,9161580906128657e-05;9,2776415990628855
4900;1;4913,0908297033466;4902,1440227890225;36,484788936030995;99,257396408597913;3,1986009446315298;1,1379561234327138;0,058227395033289248;1,1336446303819674;0,05765459003376721;0,81111791365371178;20,698117973040329;15,885166049656227;4,8129519233755795;3,1183868378406019;0,060163788041215534;9,4696040249229121;7,9155601367651284e-05;9,4696831804966095
4950;1;4963,3291749863238;4952,2100231064514;36,971630171995876;99,255104207386424;3,2503028358815298;1,1613079353268494;0,060830016755238685;1,1569241148112519;0,059898604444919776;0,81134187241214095;20,892293675314093;15,98425399267944;4,9080396826507187;3,1653460949088505;0,059603385108169885;9,6636084162149096;7,9149653724349051e-05;9,6636875658720189
5000;1;5013,570609418075;5002,2773610172344;37,461585839231752;99,252796284836748;3,3018488004353301;1,1848235260654294;0,062823620832023697;1,1804472591237134;0,062186141534362055;0,81156796079543314;21,087340569559423;16,083278646504642;5,0040619230356791;3,2127414470809055;0,059034966096727731;9,8595758792851331;7,9142903414537944e-05;9,8596550221878658
